"slug","name.he","lat","lon","residence_economy","residence_centrality"
"Ashkelon","אשקלון",31.6666667,34.5666667,5,6
"Nokdim","נוקדים",31.64533,35.244065,4,5
"Tel_Aviv","תל אביב",32.0554,34.7595,8,10
"Kefar_Kassem","כפר קאסם",32.1151,34.9751,3,7
"Or_Yehuda","אור יהודה",32.0333333,34.85,5,8
"Modiin","מודיעין",32.109878,34.895582,8,7
"Kefar_Adumim","כפר אדומים",31.819085,35.349369,4,6
"Jerusalem","ירושלים",31.7857,35.2007,4,9
"Kadima_Zoran","קדימה צורן",32.2833333,34.9166667,7,7
"Shefayim","קיבוץ שפיים",32.2169444,34.8247222,9,7
"Messillot","קיבוץ מסילות",32.497361,35.474653,5,4
"Taybe","טייבה",32.2666667,35,3,7
"Dalyat_El_Karmel","דאלית-אל-כרמל",32.6930556,35.0494444,4,5
"Ashdod","אשדוד",31.8198,34.6696,5,7
"Rosh_HaAyin","ראש העין",32.099299,34.953175,6,8
"Afula","עפולה",32.6077778,35.2897222,5,5
"Ariel","אריאל",32.10468,35.174446,6,6
"Ramla","רמלה",31.9333333,34.8666667,4,8
"Rishon_LeZyion","ראשון לציון",31.9621389,34.8045361,7,9
"Petah_Tikva","פתח תקווה",32.0888278,34.8863333,6,9
"Kefar_Karaa","כפר קרע",32.505517,35.054252,4,6
"Kochav_Yair","כוכב יאיר",32.220934,34.992399,8,7
"Akko","עכו",32.9206,35.1003,4,4
"Efrat","אפרת",31.653528,35.149899,6,5
"Mishmeret","מושב משמרת",32.227578,34.922061,8,7
"Hod_HaSharon","הוד השרון",32.15,34.8833333,8,8
"Haifa","חיפה",32.7938,35.0282,7,6
"Hertzeliya","הרצליה",32.1682,34.8125,8,8
"Raanana","רעננה",32.1833333,34.8666667,8,8
"Lahav","קיבוץ להב",31.379361,34.871292,7,5
"Shoham","שוהם",31.9966655,34.9427814,8,7
"Shefaram","שפרעם",32.802713,35.169038,3,5
"Ilabun","עילבון",32.838058,35.400009,4,4
"Natzeret","נצרת",32.6975,35.3069,4,6
"Lakyia","לקיה",31.3249,34.866228,1,4
"Mevaseret_Zyion","מבשרת ציון",31.7994444,35.1488889,8,7
"Alon_Shfut","אלון שבות",31.65487,35.125257,4,5
"Bet_El","בית אל",31.941602,35.222726,4,5
"Or_Akiva","אור עקיבא",32.5,34.9166667,5,6
"Sde_Tzvi","מושב שדה צבי",31.4488889,34.7125,4,4
"Even_Yehuda","אבן יהודה",32.270025,34.8874278,8,7
"Yaara","יערה",33.0669444,35.1847222,5,3
"Kiryat_Tivon","טבעון",32.7238889,35.1272222,9,5
"Kefar_Achim","כפר אחים",31.7447222,34.7575,6,6
"Ramat_Gan","רמת גן",32.070065,34.8246,8,10
"Givat_Shmuel","גבעת שמואל",32.0780556,34.8488889,8,9
"Yavne","יבנה",31.8833333,34.7333333,6,7
"Bet_Jan","בית ג'אן",32.965683,35.381298,3,4
"Sderot","שדרות",31.523432,34.595282,5,5
"Karney_Shomron","קרני שומרון",32.171544,35.097456,6,5
"Sachnin","סכנין",32.8666667,35.3,2,4
"Bne_Brak","בני ברק",32.0833333,34.8333333,2,10
"Maccabim_Reut","מכבים רעות",31.888854,35.025144,8,7
"Natzeret_Illit","נצרת עילית",32.7166667,35.3333333,6,5
"Shoresh","מושב שורש",31.7966,35.0653,6,6
"Um_El_Fahm","אום אל פאחם",32.5194444,35.1536111,2,6
"Maale_Michmash","מעלה מכמש",31.87913,35.305904,3,6
"Tveria","טבריה",32.7897222,35.5247222,5,4
"Rehovot","רחובות",31.892772,34.811274,6,8
"Backa_El_Garbyia","באקה אל גרבייה",32.4203278,35.0421806,4,6
"Netanyia","נתניה",32.3462,34.8615,6,7
"Ofakim","אופקים",31.2833333,34.6166667,4,4
"Motza_Illit","מוצא עילית",31.793589,35.157002,6,6
"Kefar_Azza","כפר עזה",31.483429,34.532304,7,5
"Even_Menachem","אבן מנחם",33.0738889,35.295,5,3
